All Terms,FDY,UNDER G.,GRADUATE,"IT, DA, ETM, CYSEC, DT (Non Thesis)","EMBA, MART, PMBA, BA, MIM, MIF, MBA (Non-thesis)"
COURSE ENROLLMENT,19-20 Sep 2024,18-20 Sep 2024,18-20 Sep 2024,18-19 Sep 2024,18-19 Sep 2024
ORIENTATION PROGRAM,19-20 Sep 2024,19-20 Sep 2024,19-20 Sep 2024,14 Sep 2024,14 Sep 2024
INTERNSHIP PERIOD (FALL Semester),,23 Sep 202411 Jan 2025,,,
FIRST DAY OF CLASSES,23 Sep 2024,23 Sep 2024,23 Sep 2024,21 Sep 2024,20 Sep 2024
COURSE ADD-DROP,,03-04 Oct 2024,03-04 Oct 2024,03-04 Oct 2024,03-04 Oct 2024
Deadline for Semester Leave of Absence Application,18 Oct 2024,18 Oct 2024,18 Oct 2024,18 Oct 2024,18 Oct 2024
GRADUATION APPLICATION (Candidates who will graduate at the End of the 2024-2025 Academic Year Fall Semester),,21 Oct - 06 Dec 2024,21 Oct - 06 Dec 2024,21 Oct - 06 Dec 2024,21 Oct - 06 Dec 2024
Republic Day (National Holiday) Note: There will be no classes on October 28-29.,28-29 Oct 2024,28-29 Oct 2024,28-29 Oct 2024,28-29 Oct 2024,28-29 Oct 2024
COURSE WITHDRAWAL PERIOD (W),,04-29 Nov 2024,,,
Introductory Event for Diploma Programs (Major Fest),,11-22 Nov 2024,,,
Deadline for Application to FENS Graduate Programs for 2024-2025 Academic Year Spring Semester,,,29 Nov 2024,,
"Major Declaration, Changes in Major Declaration, Application for Double Major and Minor Programs for the 2024-2025 Academic Year Spring Semester",,02-13 Dec 2024,,,
COURSE SUBSTITUTION PROCEDURES,,04 Dec 202410 Jan 2025,04 Dec 202410 Jan 2025,04 Dec 202410 Jan 2025,30 Dec 202431 Jan 2025
Deadline for Application to Management PhD Program for the 2024-2025 Academic Year Spring Semester,,,13 Dec 2024,,
The Period for the Submission of External Language Proficiency Exam Results for Exemption from the Foundation Development Year and the English Language Assessment Exam,16 Dec 202417 Jan 2025,,,,
Deadline for entry to the Thesis Jury,,,20 Dec 2024,,
"Make-up Sessions for Classes of Monday, October 28th ""Before Republic Day""",,30 Dec 2024,30 Dec 2024,,
LAST DAY OF CLASSES,08 Jan 2025,31 Dec 2024,31 Dec 2024,04 Jan 2025,25 Jan 2025
"Make-up Sessions for Classes of Tuesday, October 29th ""Republic Day""",,31 Dec 2024,31 Dec 2024,,
New Year Holiday,01 Jan 2025,01 Jan 2025,01 Jan 2025,01 Jan 2025,01 Jan 2025
FINAL EXAMS,08 Jan 2025,02-12 Jan 2025,02-12 Jan 2025,06-11 Jan 2025,31 Jan - 01 Feb 2025
INTERNSHIP PERIOD (Between FALL-SPRING Semesters),,13 Jan - 04 Feb 2025,,,
INTERNSHIP PERIOD (SPRING Semester),,13 Jan - 04 Jun 2025,,,
DEADLINE FOR SUBMISSION OF INTERNSHIP REPORTS,,14 Jan 2025,,,
"TUITION FEE PAYMENT(for enrolled Students, new Transferred Undergraduate Students and New Graduate Students)",15-17 Jan 2025,15-17 Jan 2025,15-17 Jan 2025,29-30 Jan 2025,29-30 Jan 2025
Deadline for Transfer Applications to Undergraduate Programs within the Scope of Additional Article no:1,,15-16 Jan 2025,,,
English Language Assessment Exam (For FDY Students and Graduate Students designated by Faculties),15 Jan 2025,,15 Jan 2025,,
DEADLINE FOR GRADES SUBMISSION TO THE SYSTEM (FDY Details: 17 January 2025 ELAE),14 Jan 2025,16 Jan 2025,16 Jan 2025,16 Jan 2025,03 Feb 2025
DEADLINE FOR ENTER THE INTERNSHIP GRADES INTO THE SYSTEM,,16 Jan 2025,,,
UNIVERSITY REGISTRATION (for International İncoming Exchange Students),,22-24 Jan 2025,22-24 Jan 2025,,
UNIVERSITY REGISTRATION (for New Graduate Students),,,22-24 Jan 2025,,
ORIENTATION PROGRAM (for International Incoming Exchange Students and Students Accepted to Graduate Programs),,23-24 Jan 2025,23-24 Jan 2025,,
The Deadline for Special Student Applications,,24 Jan 2025,24 Jan 2025,24 Jan 2025,24 Jan 2025
TUITION FEE PAYMENT (By Company Payments for PGP),,,,27 Jan 2025,27 Jan 2025
UNIVERSITY REGISTRATION (for Transfer Students in the scope of additional article no:1),,27-28 Jan 2025,,,
COURSE ENROLLMENT,30-31 Jan 2025,29-31 Jan 2025,29-31 Jan 2025,05-06 Feb 2025,05-06 Feb 2025
FIRST DAY OF CLASSES,03 Feb 2025,05 Feb 2025,05 Feb 2025,08 Feb 2025,07 Feb 2025
DEADLINE FOR SUBMISSION OF INTERNSHIP REPORTS (Between FALL-SPRING Semester),,07 Feb 2025,,,
DEADLINE FOR ENTER THE INTERNSHIP GRADES INTO THE SYSTEM (Between FALL-SPRING Semesters),,10 Feb 2025,,,
COURSE ADD-DROP,,13-14 Feb 2025,13-14 Feb 2025,20-21 Feb 2025,20-21 Feb 2025
Deadline for Semester Leave of Absence Application,28 Feb 2025,07 Mar 2025,07 Mar 2025,07 Mar 2025,07 Mar 2025
GRADUATION APPLICATION (Candidates who will graduate at the End of the 2024-2025 Academic Year Spring and Summer Semesters),,17 Mar - 05 May 2025,17 Mar - 05 May 2025,17 Mar - 05 May 2025,17 Mar - 05 May 2025
Deadline for EARLY Application to SBS MA/PhD Programs with thesis for 2025-2026 Academic Year Fall Semester,,,21 Mar 2025,,
COURSE WITHDRAWAL PERIOD (W),,24 Mar - 25 Apr 2025,,,
Deadline for EARLY Application to Economics MA/PhD Graduate Programs with thesis for the 2025-2026 Academic Year Fall Semester,,,28 Mar 2025,,
Ramadan Holiday (half a day of 29 March),30 Mar - 01 Apr 2025,30 Mar - 01 Apr 2025,30 Mar - 01 Apr 2025,30 Mar - 01 Apr 2025,30 Mar - 01 Apr 2025
Spring Break,31 Mar - 04 Apr 2025,31 Mar - 04 Apr 2025,31 Mar - 04 Apr 2025,,
Deadline for EARLY Application to FENS MA/PhD Programs with thesis for 2025-2026 Academic Year Fall Semester,,,04 Apr 2025,,
Introductory Event for Diploma Programs (Major Fest),,07-18 Apr 2025,,,
Sakıp Sabancı International Research Awards and Memorial Ceremony,10 Apr 2025,10 Apr 2025,10 Apr 2025,10 Apr 2025,10 Apr 2025
Deadline for Entry to the Thesis Jury for Graduates (in order to graduate after the Date of Grade Submissions),,,18 Apr 2025,,
A Day on Campus with Families,19 Apr 2025,19 Apr 2025,,,
National Sovereignty and Children's Day (National Holiday),23 Apr 2025,23 Apr 2025,23 Apr 2025,23 Apr 2025,23 Apr 2025
"Major Declaration, Changes in Major Declaration, Application for Double Major and Minor Programs for the 2024-2025 Academic Year Summer Semester",,28 Apr - 09 May 2025,,,
COURSE SUBSTITUTION PROCEDURES,,30 Apr - 04 Jun 2025,30 Apr - 04 Jun 2025,30 Apr - 30 May 2025,21 Jul - 22 Aug 2025
Labour Day (National Holiday) Note: There will be no classes on May 1-2.,01-02 May 2025,01-02 May 2025,01-02 May 2025,01-02 May 2025,01-02 May 2025
Commemoration of Ataturk Youth and Sports Day (National Holiday),19 May 2025,19 May 2025,19 May 2025,19 May 2025,19 May 2025
"Make-up Sessions for Classes of Wednesday, April 23rd ""National Sovereignty and Children's Day""",,21 May 2025,21 May 2025,,
"Make-up Sessions for Classes of Thursday, May 1st ""Labour Day""",,22 May 2025,22 May 2025,,
LAST DAY OF CLASSES,28 May 2025,23 May 2025,23 May 2025,24 May 2025,16 Aug 2025
"Make-up Sessions for Classes of Monday, May 19th ""Commemoration of Ataturk Youth and Sports Day"" NOTE: ONLY Monday's Make-up will be made on this date, Friday's Courses from the Syllabus will not be held on this date!",,23 May 2025,23 May 2025,,
FINAL EXAMS,28 May 2025,24 May - 04 Jun 2025,24 May - 04 Jun 2025,26-31 May 2025,18-23 Aug 2025
Deadline for Application to FASS Graduate Programs for 2025-2026 Academic Year Fall Semester,,,30 May 2025,,
Deadline for Application to FENS and Management MA/PhD with Thesis Graduate Programs for 2025-2026 Academic Year Fall Semester,,,30 May 2025,,
The Period for the Submission of External Language Proficiency Exam results for Exemption from the Foundation Development Year and the English Language Assessment Exam,04-20 Jun 2025,,,,
Sacrifice Holiday (half a day of 5 June),06-09 Jun 2025,06-09 Jun 2025,06-09 Jun 2025,06-09 Jun 2025,06-09 Jun 2025
FIRST DAY OF INTERNSHIP PERIOD (SUMMER Semester),,10 Jun 2025,,,
DEADLINE FOR SUBMISSION OF INTERNSHIP REPORTS (SPRING Semester),,10 Jun 2025,,,
DEADLINE FOR GRADES SUBMISSION TO THE SYSTEM (FDY Details: 19 June 2025 for ELAE),03 Jun 2025,13 Jun 2025,13 Jun 2025,13 Jun 2025,28 Aug 2025
DEADLINE FOR ENTER THE INTERNSHIP GRADES INTO THE SYSTEM (SPRING Semester),,13 Jun 2025,,,
ENGLISH LANGUAGE ASSESSMENT EXAM,17 Jun 2025,,,,
INTERNSHIP COURSE DROP,,19 Jun 2025,,,
"Deadline for EARLY Application to IT, DA, ETM and CYSEC Non-thesis Graduate Programs for 2025-2026 Academic Year Fall Semester",,,,20 Jun 2025,
The Deadline for Special Student Applications,,20 Jun 2025,20 Jun 2025,15 May 2025,
"Deadline for EARLY Application to EMBA, MART, PMBA, BA, MIM, MIF and MBA Non-thesis Graduate Programs for 2025-2026 Academic Year Fall semester",,,,,20 Jun 2025
COURSE ENROLLMENT,19-20 Jun 2025,26-27 Jun 2025,26-27 Jun 2025,26-27 Jun 2025,
COMMENCEMENT CEREMONY,,28 Jun 2025,28 Jun 2025,11 Oct 2025,11 Oct 2025
TUITION FEE PAYMENT (Students registered for Summer School),,02-03 Jul 2025,02-03 Jul 2025,23-24 Jun 2025,
FIRST DAY OF CLASSES,23 Jun 2025,07 Jul 2025,07 Jul 2025,28 Jun 2025,
COURSE ADD-DROP,,10-11 Jul 2025,10-11 Jul 2025,10-11 Jul 2025,
Democracy and National Unity Day (National Holiday),15 Jul 2025,15 Jul 2025,15 Jul 2025,15 Jul 2025,15 Jul 2025
TUITION FEE PAYMENT (Students registered during Add-Drop Period),,16-17 Jul 2025,16-17 Jul 2025,,
GRADUATION APPLICATION (Candidates who will graduate at the End of the 2024-2025 Academic Year Summer Semester),,21 Jul - 08 Aug 2025,21 Jul - 08 Aug 2025,21 Jul - 08 Aug 2025,
Deadline for Entry to Thesis Jury Graduates who will graduate at the End of the 2024-2025 Academic Year Spring Semester,,,23 Jul 2025,,
"Major Declaration, Changes in Major Declaration, Application for Double Major and Minor Programs for the 2025-2026 Academic Year Fall Semester",,24 Jul - 01 Aug 2025,,,
COURSE SUBSTITUTION PROCEDURES,,04-26 Aug 2025,04-26 Aug 2025,28 Jul - 26 Aug 2025,
"Deadline for Application to IT, DA, ETM, and CYSEC Non-thesis Graduate Programs for the 2025-2026 Academic Year Fall Semester",,,,04 Aug 2025,
"Deadline for Application to EMBA, MART, PMBA, BA, MIM, MIF and MBA Non-thesis Graduate Programs for 2025-2026 Academic Year Fall Semester",,,,,04 Aug 2025
LAST DAY OF CLASSES,15 Aug 2025,22 Aug 2025,22 Aug 2025,23 Aug 2025,
FINAL EXAMS,15 Aug 2025,23-26 Aug 2025,23-26 Aug 2025,25-26 Aug 2025,
Deadline for Converting 'I' Grades into Letter Grades (who will be considered as Graduate with effective from the End of 2024-2025 Academic Year Spring Semester),,,25 Aug 2025,,
Victory Day (National Holiday),30 Aug 2025,30 Aug 2025,30 Aug 2025,30 Aug 2025,30 Aug 2025
DEADLINE FOR GRADES SUBMISSION TO THE SYSTEM,21 Aug 2025,01 Sep 2025,01 Sep 2025,01 Sep 2025,
